dataset,class,is_target,model,simple_gap,fr
cifar100,44,0,original,0.16499999999999992,0.0
cifar100,44,0,unlearned,0.1499999999999999,0.0
cifar100,44,0,retrain,0.0050000000000001155,0.984
cifar100,45,0,original,0.17500000000000004,0.0
cifar100,45,0,unlearned,0.18500000000000005,0.0
cifar100,45,0,retrain,0.050000000000000044,0.984
cifar100,46,0,original,0.21000000000000008,0.0
cifar100,46,0,unlearned,0.22499999999999998,0.0
cifar100,46,0,retrain,0.030000000000000027,0.8220000000000001
cifar100,47,0,original,0.18500000000000005,0.0040000000000000036
cifar100,47,0,unlearned,0.18500000000000005,0.016000000000000014
cifar100,47,0,retrain,0.06500000000000006,0.948
cifar100,48,0,original,0.030000000000000027,0.018000000000000016
cifar100,48,0,unlearned,0.030000000000000027,0.020000000000000018
cifar100,48,0,retrain,0.015000000000000013,0.09799999999999998
cifar100,49,0,original,0.06499999999999995,0.0020000000000000018
cifar100,49,0,unlearned,0.050000000000000044,0.0
cifar100,49,0,retrain,0.014999999999999958,0.998
cifar100,50,0,original,0.21500000000000008,0.0020000000000000018
cifar100,50,0,unlearned,0.20000000000000007,0.0020000000000000018
cifar100,50,0,retrain,0.09499999999999997,0.996
cifar100,51,0,original,0.10499999999999998,0.0020000000000000018
cifar100,51,0,unlearned,0.11499999999999999,0.0040000000000000036
cifar100,51,0,retrain,0.07499999999999996,0.854
cifar100,52,0,original,0.2899999999999999,0.0
cifar100,52,0,unlearned,0.2849999999999999,0.0
cifar100,52,0,retrain,0.039999999999999925,0.994
cifar100,53,0,original,0.050000000000000044,0.018000000000000016
cifar100,53,0,unlearned,0.07499999999999996,0.018000000000000016
cifar100,53,0,retrain,0.020000000000000018,0.992
cifar100,54,0,original,0.07499999999999996,0.02200000000000002
cifar100,54,0,unlearned,0.07999999999999996,0.02200000000000002
cifar100,54,0,retrain,0.08500000000000008,0.248
cifar100,55,0,original,0.28,0.006000000000000005
cifar100,55,0,unlearned,0.2550000000000001,0.006000000000000005
cifar100,55,0,retrain,0.010000000000000009,1.0
cifar100,56,0,original,0.07000000000000006,0.006000000000000005
cifar100,56,0,unlearned,0.07000000000000006,0.008000000000000007
cifar100,56,0,retrain,0.050000000000000044,0.912
cifar100,57,0,original,0.09999999999999987,0.0
cifar100,57,0,unlearned,0.09499999999999997,0.0
cifar100,57,0,retrain,0.03499999999999992,0.836
cifar100,58,0,original,0.05499999999999994,0.02400000000000002
cifar100,58,0,unlearned,0.040000000000000036,0.03400000000000003
cifar100,58,0,retrain,0.020000000000000018,0.952
cifar100,59,0,original,0.20999999999999996,0.008000000000000007
cifar100,59,0,unlearned,0.19000000000000006,0.0
cifar100,59,0,retrain,0.020000000000000018,1.0
cifar100,60,0,original,0.08500000000000008,0.02200000000000002
cifar100,60,0,unlearned,0.07000000000000006,0.006000000000000005
cifar100,60,0,retrain,0.015000000000000013,0.994
cifar100,61,0,original,0.09999999999999998,0.0
cifar100,61,0,unlearned,0.11499999999999999,0.0
cifar100,61,0,retrain,0.17499999999999993,0.996
cifar100,62,0,original,0.1100000000000001,0.008000000000000007
cifar100,62,0,unlearned,0.12,0.006000000000000005
cifar100,62,0,retrain,0.019999999999999907,0.854
cifar100,63,0,original,0.135,0.006000000000000005
cifar100,63,0,unlearned,0.1399999999999999,0.010000000000000009
